"ID","Victim","CC_Fraud","Other_ID_Theft","Victim_Cat","Victim.Cat.Code","Date.of.Attack","Age","Dwelling","City_Rural","Computer","Tablet","Cell_Phone","HH_Income","No_of_CC","Social_Net","Social_Net_Acct","OL_Bank","Firewall","Malware.Present","Frequent.Traveler","Security_Clearance","Kids_in_HH","Tot_Kids","Secure_Hnet","Sess_Cnt_1mos","Cyber_Atks","No_Cyber_Atks_1mo"
814978840,1,0,1,"C",2,2015-03-12,45,"Apartment","Rural",1,0,0,"Medium",4,1,"LI",0,0,1,0,0,0,0,0,73,0,0
1598708,1,1,0,"B",1,2015-02-03,22,"Apartment","City",1,1,1,"Low",0,1,"FB",0,1,1,1,1,0,0,0,0,0,0
7684773,1,0,1,"B",1,2015-02-03,23,"Apartment","Rural",1,0,1,"Low",1,1,"FB",0,0,1,0,0,0,0,0,92,1,16
166349800,0,0,0,"A",0,2015-02-03,76,"Apartment","City",1,0,1,"Medium",4,1,"LI",0,1,0,0,1,1,3,0,97,1,22
173289853,1,0,1,"C",2,2015-02-03,22,"House","City",1,1,1,"Medium",4,0,"FB",1,1,0,1,1,0,0,0,100,1,35
205408640,0,0,0,"A",0,2015-02-03,22,"Apartment","City",1,1,1,"Low",0,0,"FB",0,1,0,0,1,0,0,1,99,1,29
261069460,0,0,0,"A",0,2015-02-03,92,"Apartment","City",1,0,1,"Low",0,1,"FB",0,1,0,0,1,1,3,0,98,1,25
267780400,1,0,1,"C",2,2015-02-03,20,"Apartment","City",1,0,1,"Medium",4,1,"LI",1,1,1,1,1,0,0,1,100,1,39
271126300,1,1,0,"B",1,2015-02-03,41,"Apartment","City",1,1,1,"Low",0,1,"FB",0,1,0,0,1,1,2,0,99,1,29
272883770,1,1,0,"C",2,2015-02-03,43,"Apartment","Rural",1,0,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,91,1,16
273846370,0,0,0,"A",0,2015-02-03,33,"Apartment","City",1,1,1,"Low",1,1,"FB",1,1,0,0,1,1,2,0,99,1,30
345269686,0,0,0,"A",0,2015-02-03,83,"Apartment","Rural",1,0,1,"Medium",4,1,"FB",0,1,0,0,1,0,0,1,99,1,26
395830770,1,0,1,"C",2,2015-02-03,17,"Apartment","Rural",1,0,1,"Medium",4,1,"LI",1,1,0,0,1,1,2,0,99,1,30
396912190,0,0,0,"A",0,2015-02-03,17,"House","City",1,1,1,"Medium",4,0,"FB",1,1,1,1,1,0,0,1,100,1,36
398438902,1,0,1,"B",1,2015-02-03,26,"Apartment","Rural",1,0,1,"Low",1,1,"FB",0,1,0,0,1,0,0,1,99,1,28
506376870,0,0,0,"A",0,2015-02-03,96,"Apartment","City",1,0,1,"Medium",4,1,"LI",0,0,1,0,0,0,0,0,0,0,0
508193670,1,1,0,"D",3,2015-02-03,65,"House","City",1,1,1,"High",4,1,"FB",0,0,1,0,0,0,0,0,0,0,0
517750320,0,0,0,"A",0,2015-02-03,84,"Apartment","City",1,1,1,"Medium",4,0,"FB",0,0,1,0,0,0,0,0,65,0,0
542274910,0,0,0,"A",0,2015-02-03,100,"Apartment","City",1,0,1,"Low",0,1,"FB",0,1,0,0,1,1,3,0,99,1,27
557331520,0,0,0,"A",0,2015-02-03,61,"Apartment","City",1,0,1,"Medium",4,1,"LI",1,1,0,0,1,1,2,0,100,1,34
596781690,0,0,0,"A",0,2015-02-03,20,"Apartment","City",1,0,1,"Medium",4,1,"LI",0,1,0,0,0,0,0,0,95,1,20
647764028,0,0,0,"A",0,2015-02-03,65,"House","City",1,1,1,"High",4,1,"FB",0,1,1,1,1,1,1,0,0,0,0
779106600,0,0,0,"A",0,2015-02-03,59,"Apartment","City",1,1,1,"Low",1,1,"FB",0,1,0,0,1,1,3,0,98,1,25
813983019,0,0,0,"A",0,2015-02-03,100,"Apartment","City",1,0,1,"Low",0,1,"FB",0,0,1,0,0,0,0,0,0,0,0
830788780,1,1,0,"B",1,2015-02-03,50,"Apartment","City",1,1,1,"Low",1,1,"FB",1,1,1,1,1,0,0,1,100,1,37
851453903,1,1,0,"C",2,2015-02-03,16,"House","City",1,1,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,87,1,13
851906444,0,0,0,"A",0,2015-02-03,76,"Apartment","City",1,0,1,"Medium",4,1,"LI",0,0,1,0,0,0,0,0,0,0,0
852796800,0,0,0,"A",0,2015-02-03,27,"House","City",1,1,1,"Medium",4,1,"FB",1,1,0,0,1,0,0,0,100,1,32
877114991,1,1,0,"B",1,2015-02-03,31,"Apartment","City",1,1,1,"Low",1,0,"FB",1,1,0,1,1,1,2,0,100,1,33
913354104,0,0,0,"A",0,2015-02-03,89,"House","City",1,1,1,"High",4,1,"FB",1,1,0,0,1,1,2,0,99,1,30
940718190,1,1,0,"C",2,2015-02-03,29,"Apartment","Rural",1,0,1,"Medium",4,0,"FB",1,1,1,1,1,0,0,1,100,1,33
960476770,0,0,0,"A",0,2015-02-03,22,"House","City",1,1,1,"Medium",4,0,"FB",0,0,1,0,0,0,0,0,84,1,12
991824560,1,0,1,"B",1,2015-02-03,34,"Apartment","City",1,0,1,"Low",1,0,"FB",0,1,1,1,1,0,0,0,0,0,0
2655307,1,1,0,"B",1,2015-02-04,13,"Apartment","Rural",1,0,0,"Low",0,0,"FB",0,0,1,0,0,0,0,0,57,0,0
122698110,0,0,0,"A",0,2015-02-04,34,"Apartment","City",1,1,1,"Low",1,1,"FB",0,0,1,0,0,0,0,0,27,0,0
147619550,0,0,0,"A",0,2015-02-04,66,"Apartment","City",1,0,1,"Medium",4,1,"FB",1,1,1,1,1,1,1,0,100,1,37
157806720,0,0,0,"A",0,2015-02-04,21,"House","City",1,1,1,"Medium",4,1,"FB",0,1,0,0,0,0,0,0,0,0,0
177459980,1,0,1,"B",1,2015-02-04,13,"Apartment","Rural",1,0,0,"Low",0,0,"FB",0,1,0,0,1,0,0,1,97,1,23
179912390,1,0,1,"D",3,2015-02-04,23,"House","City",1,1,1,"High",4,0,"FB",1,1,1,1,1,0,0,1,100,1,38
187802150,1,0,1,"D",3,2015-02-04,23,"House","City",1,1,1,"High",4,0,"FB",0,0,1,0,0,0,0,0,53,0,0
199600626,0,0,0,"A",0,2015-02-04,16,"Apartment","Rural",1,0,1,"Low",1,1,"FB",1,1,1,1,1,0,0,0,100,1,36
212910110,1,1,0,"B",1,2015-02-04,71,"Apartment","Rural",1,0,1,"Low",1,1,"FB",0,1,0,0,1,1,2,1,99,1,28
226838480,1,0,1,"B",1,2015-02-04,25,"Apartment","Rural",1,0,1,"Low",1,1,"FB",0,1,0,0,0,0,0,1,94,1,19
243462800,1,0,1,"B",1,2015-02-04,84,"Apartment","Rural",1,0,0,"Low",1,1,"FB",0,1,0,1,1,1,2,0,0,0,0
341781105,0,0,0,"A",0,2015-02-04,63,"Apartment","City",1,1,1,"Low",0,0,"FB",0,1,0,0,1,0,0,1,97,1,23
406677440,1,0,1,"C",2,2015-02-04,18,"Apartment","Rural",1,0,1,"Medium",4,1,"FB",1,1,0,0,1,0,0,1,99,1,30
437791349,0,0,0,"A",0,2015-02-04,90,"House","City",1,1,1,"Medium",4,1,"LI",1,1,0,1,1,1,2,0,100,1,33
472946460,1,1,0,"D",3,2015-02-04,47,"House","City",1,1,1,"High",4,1,"FB",0,1,0,0,1,1,2,0,99,1,28
536289905,0,0,0,"A",0,2015-02-04,43,"Apartment","Rural",1,0,1,"Medium",4,0,"FB",0,0,1,0,0,0,0,0,93,1,17
540659540,1,1,0,"B",1,2015-02-04,14,"Apartment","Rural",1,0,1,"Low",0,1,"FB",1,1,1,1,1,1,1,0,100,1,35
569227830,0,0,0,"A",0,2015-02-04,62,"House","City",1,1,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,23,0,0
573034710,0,0,0,"A",0,2015-02-04,44,"Apartment","City",1,0,1,"Medium",4,1,"FB",1,1,0,1,1,0,0,0,99,1,30
636726700,1,0,1,"B",1,2015-02-04,25,"Apartment","Rural",1,0,1,"Low",1,1,"FB",0,0,1,0,0,0,0,0,45,0,0
641319350,0,0,0,"A",0,2015-02-04,89,"Apartment","City",1,0,1,"Low",1,1,"FB",1,1,1,1,1,1,1,0,100,1,37
664338620,1,0,1,"B",1,2015-02-04,63,"Apartment","City",1,1,1,"Low",0,1,"FB",0,1,0,0,1,1,3,0,97,1,22
672048990,0,0,0,"A",0,2015-02-04,23,"Apartment","City",1,0,1,"Low",0,0,"FB",0,1,0,0,0,0,0,1,97,1,21
699747070,0,0,0,"A",0,2015-02-04,66,"Apartment","City",1,0,1,"Medium",4,1,"FB",0,1,0,0,0,0,0,0,0,0,0
721844600,1,1,0,"B",1,2015-02-04,47,"Apartment","Rural",1,0,1,"Low",1,1,"FB",1,1,0,0,1,0,0,0,99,1,30
766567326,1,1,0,"B",1,2015-02-04,14,"Apartment","Rural",1,0,1,"Low",0,1,"FB",1,1,1,1,1,0,0,1,100,1,34
786706800,0,0,0,"A",0,2015-02-04,94,"House","City",1,1,1,"Medium",4,1,"FB",1,1,1,1,1,0,0,1,100,1,35
792002050,0,0,0,"A",0,2015-02-04,42,"Apartment","City",1,0,1,"Low",1,1,"FB",0,0,1,0,0,0,0,0,27,0,0
819179260,1,0,1,"B",1,2015-02-04,67,"Apartment","City",1,0,1,"Low",1,1,"FB",0,1,0,0,1,0,0,1,99,1,28
889998940,1,0,1,"B",1,2015-02-04,66,"Apartment","Rural",1,0,1,"Low",0,0,"FB",0,0,1,0,0,0,0,0,80,0,0
957132960,0,0,0,"A",0,2015-02-04,59,"House","City",1,1,1,"High",5,0,"FB",0,1,0,0,0,1,2,0,0,0,0
963159930,1,0,1,"B",1,2015-02-04,26,"Apartment","Rural",1,0,1,"Low",1,1,"FB",1,1,0,1,1,0,0,1,100,1,33
1269519,1,1,0,"B",1,2015-02-05,46,"Apartment","City",1,0,1,"Low",1,1,"FB",0,1,0,0,1,0,0,1,99,1,29
1391860,0,0,0,"A",0,2015-02-05,18,"Apartment","City",1,0,1,"Medium",4,1,"FB",0,0,1,0,0,0,0,0,0,0,0
2445030,0,0,0,"A",0,2015-02-05,18,"House","City",1,1,1,"Medium",4,1,"LI",1,1,1,1,1,0,0,1,100,1,39
10000845,0,0,0,"A",0,2015-02-05,38,"House","City",1,1,1,"Medium",4,0,"FB",1,1,0,1,1,1,2,0,100,1,33
12258381,1,1,0,"B",1,2015-02-05,19,"Apartment","City",1,1,1,"Low",0,1,"FB",0,1,0,0,0,0,0,1,96,1,20
12308504,0,0,0,"A",0,2015-02-05,16,"Apartment","City",1,1,1,"Low",1,1,"FB",0,1,1,1,1,1,1,0,0,0,0
114156833,0,0,0,"A",0,2015-02-05,46,"Apartment","City",1,0,1,"Low",1,1,"FB",0,0,1,0,0,0,0,0,41,0,0
114370644,0,0,0,"A",0,2015-02-05,78,"Apartment","Rural",1,0,0,"Medium",4,0,"FB",0,0,1,0,0,0,0,0,75,0,0
151396460,0,0,0,"A",0,2015-02-05,25,"Apartment","City",1,1,1,"Medium",4,1,"LI",0,0,1,0,0,0,0,0,78,0,0
169029329,0,0,0,"A",0,2015-02-05,83,"Apartment","Rural",1,0,1,"Low",1,0,"LI",1,1,0,1,1,0,0,1,100,1,32
198964710,1,0,1,"B",1,2015-02-05,14,"Apartment","City",1,1,1,"Low",0,1,"FB",0,1,0,0,1,0,0,0,97,1,23
223253510,0,0,0,"A",0,2015-02-05,90,"House","City",1,1,1,"Medium",4,1,"LI",0,1,1,1,1,0,0,0,0,0,0
274071980,0,0,0,"A",0,2015-02-05,86,"Apartment","Rural",1,0,1,"Low",0,1,"FB",0,0,1,0,0,0,0,0,83,1,12
285564410,0,0,0,"A",0,2015-02-05,27,"Apartment","City",1,1,1,"Medium",4,0,"FB",0,0,1,0,0,0,0,0,91,1,16
