ID,Victim,CC_Fraud,Other_ID_Theft,Victim_Cat,Victim Cat Code,Date of Attack,Age,Dwelling,City_Rural,Computer,Tablet,Cell_Phone,HH_Income,No_of_CC,Social_Net,Social_Net_Acct,OL_Bank,Firewall,Malware Present,Frequent-Traveler,Security_Clearance,Kids_in_HH,Tot_Kids,Secure_Hnet,Sess_Cnt_1mos,Cyber_Atks,No_Cyber_Atks_1mo
814978840,1,0,1,C,2,3/12/2015,45,Apartment,Rural,Yes,No,No,Medium,4,Yes,LI,0,0,1,0,0,0,0,0,73,0,0
001598708,1,1,0,B,1,2/3/2015,22,Apartment,City,Yes,Yes,Yes,Low,0,Yes,FB,0,1,1,1,1,0,0,0,0,0,0
07684773,1,0,1,B,1,2/3/2015,23,Apartment,Rural,Yes,No,Yes,Low,1,Yes,FB,0,0,1,0,0,0,0,0,92,1,16
166349800,0,0,0,A,0,2/3/2015,76,Apartment,City,Yes,No,Yes,Medium,4,Yes,LI,0,1,0,0,1,1,3,0,97,1,22
173289853,1,0,1,C,2,2/3/2015,22,House,City,Yes,Yes,Yes,Medium,4,No,FB,1,1,0,1,1,0,0,0,100,1,35
205408640,0,0,0,A,0,2/3/2015,22,Apartment,City,Yes,Yes,Yes,Low,0,No,NA,0,1,0,0,1,0,0,1,99,1,29
261069460,0,0,0,A,0,2/3/2015,92,Apartment,City,Yes,No,Yes,Low,0,Yes,FB,0,1,0,0,1,1,3,0,98,1,25
267780400,1,0,1,C,2,2/3/2015,20,Apartment,City,Yes,No,Yes,Medium,4,Yes,LI,1,1,1,1,1,0,0,1,100,1,39
271126300,1,1,0,B,1,2/3/2015,41,Apartment,City,Yes,Yes,Yes,Low,0,Yes,FB,0,1,0,0,1,1,2,0,99,1,29
272883770,1,1,0,C,2,2/3/2015,43,Apartment,Rural,Yes,No,Yes,Medium,4,Yes,FB,0,0,1,0,0,0,0,0,91,1,16
273846370,0,0,0,A,0,2/3/2015,33,Apartment,City,Yes,Yes,Yes,Low,1,Yes,FB,1,1,0,0,1,1,2,0,99,1,30
345269686,0,0,0,A,0,2/3/2015,83,Apartment,Rural,Yes,No,Yes,Medium,4,Yes,FB,0,1,0,0,1,0,0,1,99,1,26
395830770,1,0,1,C,2,2/3/2015,17,Apartment,Rural,Yes,No,Yes,Medium,4,Yes,LI,1,1,0,0,1,1,2,0,99,1,30
396912190,0,0,0,A,0,2/3/2015,17,House,City,Yes,Yes,Yes,Medium,4,No,FB,1,1,1,1,1,0,0,1,100,1,36
398438902,1,0,1,B,1,2/3/2015,26,Apartment,Rural,Yes,No,Yes,Low,1,Yes,FB,0,1,0,0,1,0,0,1,99,1,28
506376870,0,0,0,A,0,2/3/2015,96,Apartment,City,Yes,No,Yes,Medium,4,Yes,LI,0,0,1,0,0,0,0,0,0,0,0
